# legendlabel: Fit Exponential
# description: 
# m=0.948779610330041, tau=19.01909369456241[steps]
# fitrange: 1 <= k <= 1500[1.0steps]
# function: $A e^{-k/\tau}$
# 	with parameters:
# 		tau = 19.01909369456241
# 		A = 0.526029871079644
# 
# legendlabel: Fit Exp+Offset
# description: 
# m=0.9491954703949417, tau=19.178939454092088[steps]
# fitrange: 1 <= k <= 1500[1.0steps]
# function: $A e^{-k/\tau} + O$
# 	with parameters:
# 		tau = 19.178939454092088
# 		A = 0.5262672471663292
# 		O = -0.0012240836529710914
# 
# legendlabel: Fit Complex
# description: 
# m=0.9831584989242645, tau=58.875714668907875[steps]
# fitrange: 1 <= k <= 1500[1.0steps]
# function: $A e^{-k/\tau} + B e^{-(k/\tau_{osc})^\gamma} \cos(2 \pi \nu k) + C e^{-(k/\tau_{gs})^2} + O$
# 	with parameters:
# 		tau = 58.875714668907875
# 		A = 0.0940495005580624
# 		O = -0.0017189261654161165
# 		tauosc = 5.000000033303077
# 		B = 0.3969196685907876
# 		gamma = 0.37637235182005246
# 		nu = 0.004658922811668233
# 		taugs = 18.587653403858884
# 		C = 0.1832837795149349
# 
# 1_steps[1steps]	2_coefficients	3_stderrs
2.100000000000000000e+01	1.712629820128315217e-01	7.645888714279988445e-03
2.200000000000000000e+01	1.683576027153372290e-01	6.564430378037520997e-03
2.300000000000000000e+01	1.586711026133746649e-01	6.486785518261668944e-03
2.400000000000000000e+01	1.483752322169623883e-01	6.442881667331631056e-03
2.500000000000000000e+01	1.448809280113111941e-01	6.657822984011131998e-03
2.600000000000000000e+01	1.360531863564142241e-01	7.579863511325297259e-03
2.700000000000000000e+01	1.270361266295029490e-01	6.571479149398638288e-03
2.800000000000000000e+01	1.190029976978865534e-01	6.210110159622445926e-03
2.900000000000000000e+01	1.128695220253500275e-01	5.556079766753602676e-03
3.000000000000000000e+01	1.113644867856749821e-01	5.798181917844156055e-03
3.100000000000000000e+01	1.012278375668175662e-01	6.188232017746066009e-03
3.200000000000000000e+01	9.624833838933236074e-02	5.723379417858532291e-03
3.300000000000000000e+01	9.310572355849515425e-02	6.648645885454849969e-03
3.400000000000000000e+01	8.427366129227997771e-02	6.325319111324579149e-03
3.500000000000000000e+01	8.051235890484875757e-02	6.416906988505907336e-03
3.600000000000000000e+01	7.222066958160480721e-02	5.441321757262204163e-03
3.700000000000000000e+01	7.344662430923251661e-02	5.849260817798455046e-03
3.800000000000000000e+01	6.925131286730219771e-02	5.359722852313748148e-03
3.900000000000000000e+01	6.561699451456148857e-02	6.099667003360226616e-03
4.000000000000000000e+01	5.976982054894686147e-02	5.902193165155622707e-03
4.100000000000000000e+01	5.596036511165115857e-02	6.277841912604630904e-03
4.200000000000000000e+01	5.532105269428423677e-02	7.242947075363014020e-03
4.300000000000000000e+01	4.938240756618048760e-02	7.139285120368580977e-03
4.400000000000000000e+01	4.812121018298424341e-02	6.716487755357139836e-03
4.500000000000000000e+01	4.737416331480782949e-02	7.348183331776289920e-03
4.600000000000000000e+01	4.438737700412684339e-02	7.469307217544013736e-03
4.700000000000000000e+01	4.046509110017940114e-02	6.897337552915263834e-03
4.800000000000000000e+01	3.880860270271063034e-02	7.674363451856551326e-03
4.900000000000000000e+01	3.624138792477750448e-02	8.306070534069799269e-03
5.000000000000000000e+01	3.698694351340413300e-02	7.408175743045174351e-03
5.100000000000000000e+01	3.375481504718082920e-02	8.534817363878687696e-03
5.200000000000000000e+01	3.622144756653672415e-02	8.322680947992988632e-03
5.300000000000000000e+01	3.256392379201025061e-02	8.284885476026574574e-03
5.400000000000000000e+01	3.201555295666527745e-02	8.146824979924711246e-03
5.500000000000000000e+01	3.047767619494218955e-02	9.526779627886134555e-03
5.600000000000000000e+01	3.326713645234351951e-02	8.609958363453957056e-03
5.700000000000000000e+01	3.065525654944178946e-02	1.006532807381672716e-02
5.800000000000000000e+01	2.930441807556537909e-02	9.411924905519499993e-03
5.900000000000000000e+01	2.695361513201026057e-02	8.345726480636387820e-03
6.000000000000000000e+01	2.391044537719300492e-02	8.596841107209336058e-03
6.100000000000000000e+01	2.735719568451131997e-02	8.196757285555992742e-03
6.200000000000000000e+01	2.503779678487345201e-02	8.765040887774536160e-03
6.300000000000000000e+01	2.115521811225714449e-02	8.452021582811183528e-03
6.400000000000000000e+01	1.971176759312959909e-02	9.705164553350038165e-03
6.500000000000000000e+01	1.857426718947201294e-02	8.426220003197586184e-03
6.600000000000000000e+01	1.972227125460814315e-02	9.982827884399327750e-03
6.700000000000000000e+01	2.094137077793584850e-02	9.032455336067390927e-03
6.800000000000000000e+01	1.989724476204193446e-02	9.247292147818489058e-03
6.900000000000000000e+01	1.926221977828016657e-02	7.654579637869736962e-03
7.000000000000000000e+01	2.025087191122614677e-02	8.479945578489219218e-03
7.100000000000000000e+01	1.594423975728093829e-02	9.162699795300013189e-03
7.200000000000000000e+01	1.817506354119228368e-02	9.542083183402621030e-03
7.300000000000000000e+01	1.700671325597565703e-02	9.095920333693750109e-03
7.400000000000000000e+01	1.956019062111455722e-02	8.696545497982486814e-03
7.500000000000000000e+01	1.860184185364239726e-02	7.887368331408215610e-03
7.600000000000000000e+01	1.828272261377285671e-02	7.855886215749030912e-03
7.700000000000000000e+01	1.843179349905717246e-02	8.659349028845979637e-03
7.800000000000000000e+01	1.660639776246130433e-02	8.117115954780020071e-03
7.900000000000000000e+01	1.839639140062303627e-02	8.121187413799444560e-03
8.000000000000000000e+01	1.746394577817029017e-02	9.265500555324534052e-03
8.100000000000000000e+01	2.052008396381014427e-02	7.531197135197087791e-03
8.200000000000000000e+01	1.536896957038725274e-02	8.400766787009279410e-03
8.300000000000000000e+01	1.475508506174048537e-02	8.838505639734916056e-03
8.400000000000000000e+01	1.598909227345689937e-02	8.382650725169126307e-03
8.500000000000000000e+01	1.776497005586671549e-02	8.278550262371970475e-03
8.600000000000000000e+01	1.542906750927675562e-02	9.372625333153387570e-03
8.700000000000000000e+01	1.614041389558524067e-02	9.683213965274177840e-03
8.800000000000000000e+01	1.501054110391263421e-02	9.133435799814723643e-03
8.900000000000000000e+01	1.370005249089433462e-02	9.325715910580132176e-03
9.000000000000000000e+01	1.265122456353269011e-02	8.748951899336740098e-03
9.100000000000000000e+01	1.664727639117612873e-02	8.167633468534109611e-03
9.200000000000000000e+01	1.180213511110997371e-02	8.605953689789608632e-03
9.300000000000000000e+01	9.627891577598276032e-03	9.324932697126713313e-03
9.400000000000000000e+01	1.081193738615119498e-02	8.766471101523612072e-03
9.500000000000000000e+01	5.759798963427178314e-03	9.755511297266875742e-03
9.600000000000000000e+01	4.466132252074837827e-03	9.317954549503057460e-03
9.700000000000000000e+01	4.385569011986282378e-03	9.467581814794035280e-03
9.800000000000000000e+01	5.761240041317398225e-03	9.399255456358814043e-03
9.900000000000000000e+01	5.219408164699257738e-03	9.098460762696759102e-03
1.000000000000000000e+02	6.742012037751623577e-04	8.810128312440400344e-03
1.010000000000000000e+02	3.271795303262645116e-03	9.179352567372961111e-03
1.020000000000000000e+02	-1.990539895189610744e-03	9.763846529591974077e-03
1.030000000000000000e+02	2.826656442333339968e-03	9.746829609255689558e-03
1.040000000000000000e+02	6.120209444975159086e-04	8.480629737821482675e-03
1.050000000000000000e+02	-1.751139116992677562e-03	8.955846075011545532e-03
1.060000000000000000e+02	-3.927141962211364609e-04	8.394658304801573892e-03
1.070000000000000000e+02	-3.457797128694735291e-03	8.991866061966419243e-03
1.080000000000000000e+02	-2.399822415747839607e-03	7.047178331510943125e-03
1.090000000000000000e+02	-2.158335462995558500e-03	7.545815811227729077e-03
1.100000000000000000e+02	-3.290269906797688767e-03	7.302125370026548920e-03
1.110000000000000000e+02	-4.208064846023246326e-03	7.629434452744840792e-03
1.120000000000000000e+02	-3.480615970460065010e-03	7.566034754984023343e-03
1.130000000000000000e+02	-2.283852700204853144e-03	7.975582817407195907e-03
1.140000000000000000e+02	-2.861419574469236098e-03	7.375127253949183281e-03
1.150000000000000000e+02	-4.374839510562045924e-03	6.407464408415730790e-03
1.160000000000000000e+02	-8.720432249667767546e-03	6.168561408552796117e-03
1.170000000000000000e+02	-8.485555364462422576e-03	5.067694912246422691e-03
1.180000000000000000e+02	-5.624124630981412395e-03	5.147258882178133536e-03
1.190000000000000000e+02	-9.574777043589248124e-03	4.659996472426990340e-03
1.200000000000000000e+02	-7.449284917454415851e-03	5.706206137650421568e-03
1.210000000000000000e+02	-1.257597894417069283e-02	5.019424803736411388e-03
1.220000000000000000e+02	-7.447966923277819958e-03	6.967108355251501461e-03
1.230000000000000000e+02	-1.047526209605497208e-02	5.589039223554842679e-03
1.240000000000000000e+02	-1.221597929727879714e-02	6.101690013370688996e-03
1.250000000000000000e+02	-1.167458135799611003e-02	5.495545475770876806e-03
1.260000000000000000e+02	-9.841596971040306521e-03	4.817578909976118207e-03
1.270000000000000000e+02	-1.346891093345346790e-02	6.363147171753824258e-03
1.280000000000000000e+02	-1.315754954535647801e-02	6.042512280569069597e-03
1.290000000000000000e+02	-1.019155489920362673e-02	5.899617823040631537e-03
1.300000000000000000e+02	-1.295377594909105992e-02	5.954475156542834123e-03
1.310000000000000000e+02	-1.181537394716882655e-02	6.397143339485610730e-03
1.320000000000000000e+02	-9.190519222463885279e-03	5.936435613068126102e-03
1.330000000000000000e+02	-7.485364254795764775e-03	6.402210002892570057e-03
1.340000000000000000e+02	-2.472488505413103412e-03	6.196991037763014722e-03
1.350000000000000000e+02	-4.522374173621372499e-03	6.029812016112291902e-03
1.360000000000000000e+02	-7.481745515999363612e-03	5.556277728909722602e-03
1.370000000000000000e+02	-5.479268433403032025e-04	5.436163437301749432e-03
1.380000000000000000e+02	-1.035002861059365663e-03	5.715954832088014463e-03
1.390000000000000000e+02	-2.206343623317024664e-03	6.651398587705445280e-03
1.400000000000000000e+02	6.613892513694200363e-04	6.301999313198454987e-03
1.410000000000000000e+02	-1.185223913673245574e-03	6.720187513159915464e-03
1.420000000000000000e+02	-2.056446245794826735e-03	8.730165325145144983e-03
1.430000000000000000e+02	1.310499311140839456e-04	6.466966200807101189e-03
1.440000000000000000e+02	1.552949182214144897e-03	7.132568603203374991e-03
1.450000000000000000e+02	7.866968076314579447e-04	6.785650512945324078e-03
1.460000000000000000e+02	2.484764808704504713e-04	6.278236864513659851e-03
1.470000000000000000e+02	1.757323514158005539e-03	7.690504591977472167e-03
1.480000000000000000e+02	5.480586254432939959e-03	7.563934411941357350e-03
1.490000000000000000e+02	3.717538288428657526e-03	8.444440043975700791e-03
1.500000000000000000e+02	4.471824622877777896e-04	6.861815707344716929e-03
1.510000000000000000e+02	-9.831822440189256509e-05	7.351295086347955574e-03
1.520000000000000000e+02	-6.791218550312420757e-04	7.503828653123940928e-03
1.530000000000000000e+02	6.979977309119417077e-05	7.752158953133298294e-03
1.540000000000000000e+02	-3.758434910268931362e-04	8.483003161467514083e-03
1.550000000000000000e+02	2.753264352751337747e-03	7.824230361317643934e-03
1.560000000000000000e+02	2.186412255432431707e-03	8.120947774204809524e-03
1.570000000000000000e+02	3.083505012778044955e-03	8.549911361967123258e-03
1.580000000000000000e+02	2.298521491735288757e-03	8.341016996327634686e-03
1.590000000000000000e+02	6.429205675269680786e-03	7.516743977779179881e-03
1.600000000000000000e+02	7.420170880636883966e-03	8.724998600282534919e-03
1.610000000000000000e+02	4.836044322884297704e-03	8.884338574602964472e-03
1.620000000000000000e+02	7.704032760379476812e-03	8.026850498232186715e-03
1.630000000000000000e+02	4.838686876234839056e-03	8.309787418889082178e-03
1.640000000000000000e+02	4.970297447363387910e-03	8.496910237723717327e-03
1.650000000000000000e+02	4.976509924328752048e-03	7.728796041900863438e-03
1.660000000000000000e+02	3.698598266416043730e-03	8.107452734104908174e-03
1.670000000000000000e+02	6.415438512346191384e-03	9.082671056474167851e-03
1.680000000000000000e+02	1.084710476090308337e-02	8.268664322322425916e-03
1.690000000000000000e+02	1.274421929024490731e-02	8.790458447525011099e-03
1.700000000000000000e+02	9.199873575303035150e-03	8.728002086995406000e-03
1.710000000000000000e+02	9.513083373822528790e-03	8.535582044095562163e-03
1.720000000000000000e+02	1.336885911163150295e-02	9.643441434596822931e-03
1.730000000000000000e+02	1.139837050219066027e-02	9.688187977183945754e-03
1.740000000000000000e+02	1.002841737780239308e-02	9.646394073963513241e-03
1.750000000000000000e+02	7.247196696577013104e-03	8.742760367575395930e-03
1.760000000000000000e+02	8.889212656873661869e-03	9.525080289421183205e-03
1.770000000000000000e+02	6.431161138944739737e-03	9.312556359983275439e-03
1.780000000000000000e+02	5.116621364874866448e-03	7.956175458478181861e-03
1.790000000000000000e+02	5.031282116004555556e-03	8.504155332918527169e-03
1.800000000000000000e+02	7.095657861012167819e-03	9.720048102530191164e-03
1.810000000000000000e+02	2.430182112911296113e-03	8.690355655308276694e-03
1.820000000000000000e+02	7.214392430566684764e-03	8.824260369924471700e-03
1.830000000000000000e+02	5.058556520243367993e-03	8.678086270640060496e-03
1.840000000000000000e+02	6.814799154320013222e-03	1.127942977082063009e-02
1.850000000000000000e+02	7.812972012934118679e-03	1.012452183275261777e-02
1.860000000000000000e+02	6.967810855362516556e-03	1.028543993481137626e-02
1.870000000000000000e+02	5.809357624353456324e-03	9.858662136897441974e-03
1.880000000000000000e+02	4.004858108401276699e-03	1.089484426243244805e-02
1.890000000000000000e+02	5.272048456044752841e-03	9.044589872570498942e-03
1.900000000000000000e+02	3.991442231983886521e-03	9.902085418135737546e-03
1.910000000000000000e+02	4.624142612468870248e-03	1.111349441764287148e-02
1.920000000000000000e+02	8.913488799053511519e-03	9.707488497465034671e-03
1.930000000000000000e+02	6.188939125425696811e-03	1.018817224004063549e-02
1.940000000000000000e+02	4.164706271884456579e-03	1.007933581451518797e-02
1.950000000000000000e+02	3.394076180291188873e-03	9.453344958378542134e-03
1.960000000000000000e+02	2.835258462381520014e-03	1.029453628018401137e-02
1.970000000000000000e+02	4.991117113318293760e-03	9.941047536298807177e-03
1.980000000000000000e+02	6.082938864646426913e-03	9.391494859440416634e-03
1.990000000000000000e+02	6.197709285965977491e-03	1.004231587031585715e-02
2.000000000000000000e+02	6.712282180268066938e-03	9.718277432163604374e-03
2.010000000000000000e+02	9.216524295804426337e-03	1.005050469256316831e-02
2.020000000000000000e+02	8.834410576198565429e-03	9.502756878074643601e-03
2.030000000000000000e+02	7.310723489821098486e-03	9.804193176915852737e-03
2.040000000000000000e+02	1.185624294261656934e-02	9.370519702453401767e-03
2.050000000000000000e+02	6.524647072848155198e-03	9.993847837807739998e-03
2.060000000000000000e+02	6.923274568918963250e-03	1.009881736763530366e-02
2.070000000000000000e+02	8.240511170237186170e-03	1.050181616444138648e-02
2.080000000000000000e+02	9.416255554909398057e-03	1.094610408432153403e-02
2.090000000000000000e+02	1.140296505839546309e-02	1.039051138946241529e-02
2.100000000000000000e+02	9.854850611480597128e-03	9.331756152129990975e-03
2.110000000000000000e+02	1.134159824781715356e-02	8.831227240456977767e-03
2.120000000000000000e+02	9.122047930204216920e-03	8.390911635987256811e-03
2.130000000000000000e+02	9.208532054112279069e-03	9.011106648726265045e-03
2.140000000000000000e+02	1.455018773500599792e-02	9.386570717202578906e-03
2.150000000000000000e+02	1.206410825513888271e-02	9.434768446745747661e-03
2.160000000000000000e+02	1.192192553080083026e-02	8.796687288954952930e-03
2.170000000000000000e+02	1.055702280169432475e-02	7.508296173791304505e-03
2.180000000000000000e+02	1.250498293221430877e-02	8.068134676863942742e-03
2.190000000000000000e+02	9.402057178900021656e-03	7.566287897477089706e-03
2.200000000000000000e+02	1.081293306410587018e-02	7.230090988358648177e-03
2.210000000000000000e+02	9.386435275470903297e-03	6.761046509886876367e-03
2.220000000000000000e+02	9.125422425121373221e-03	6.555678143946334566e-03
2.230000000000000000e+02	1.103471331698692437e-02	6.264646832209030437e-03
2.240000000000000000e+02	6.373401571397263599e-03	6.938767124060774873e-03
2.250000000000000000e+02	8.254501633244216638e-03	6.411189343910981588e-03
2.260000000000000000e+02	5.692057667160526843e-03	6.276984318286955161e-03
2.270000000000000000e+02	8.208181347435164130e-03	5.085142014596102066e-03
2.280000000000000000e+02	5.470333817927876437e-03	6.214837900078045048e-03
2.290000000000000000e+02	4.730314645245437162e-03	6.810301694983462648e-03
2.300000000000000000e+02	7.538657632234121650e-03	7.373432475563742976e-03
2.310000000000000000e+02	3.887674670029593691e-03	6.774912004860968520e-03
2.320000000000000000e+02	7.203516420107962392e-03	6.504487199687718386e-03
2.330000000000000000e+02	7.014030429089643248e-03	6.667447161630517087e-03
2.340000000000000000e+02	6.205179938588408287e-03	6.617035845244229053e-03
2.350000000000000000e+02	7.855726689024171427e-03	5.106488571862812485e-03
2.360000000000000000e+02	2.409670805216386665e-03	5.396259823838163959e-03
2.370000000000000000e+02	6.763006206877692286e-03	4.992871796332312012e-03
2.380000000000000000e+02	4.224291032442149471e-03	4.859677203085679097e-03
2.390000000000000000e+02	8.188864112023457043e-03	3.964796097551661659e-03
2.400000000000000000e+02	5.496443337970223150e-03	5.778421765961332286e-03
2.410000000000000000e+02	6.020718657400877215e-03	3.378524876405843234e-03
2.420000000000000000e+02	8.564216021568777509e-03	4.063396818204186196e-03
2.430000000000000000e+02	6.477889604302490556e-03	3.460518924451747892e-03
2.440000000000000000e+02	4.136766408658258329e-03	5.029840835226275127e-03
2.450000000000000000e+02	8.427612043587684801e-03	4.385516930556027093e-03
2.460000000000000000e+02	8.713026478086263737e-03	4.448263079750331382e-03
2.470000000000000000e+02	9.326239012536046910e-03	5.029635470822252895e-03
2.480000000000000000e+02	7.550378431487999795e-03	4.252015701149284947e-03
2.490000000000000000e+02	6.066070283500428657e-03	5.466284745353577543e-03
2.500000000000000000e+02	6.316281588633577623e-03	5.020947205572495221e-03
2.510000000000000000e+02	7.991762627734433355e-03	4.402544000594389544e-03
2.520000000000000000e+02	9.129100117077851989e-03	6.204738288465213095e-03
2.530000000000000000e+02	7.025564261925240812e-03	5.371029688863672089e-03
2.540000000000000000e+02	2.799588583886840776e-03	4.782315742168957891e-03
2.550000000000000000e+02	6.397681564703758261e-03	5.408206004273465733e-03
2.560000000000000000e+02	4.265573796530626113e-03	4.765672924444323486e-03
2.570000000000000000e+02	4.095769399114936385e-03	7.194556111069005076e-03
2.580000000000000000e+02	2.877343896444629120e-03	5.625115723836172400e-03
2.590000000000000000e+02	2.443879747202320780e-03	7.216160780475796947e-03
2.600000000000000000e+02	3.450258983767569895e-03	6.864407461063658927e-03
2.610000000000000000e+02	2.690480850684542099e-04	7.053958022063609550e-03
2.620000000000000000e+02	-1.630188523166663499e-03	7.605242163313069570e-03
2.630000000000000000e+02	6.837543176723926905e-04	7.181744561712216125e-03
2.640000000000000000e+02	3.721199349256349657e-03	7.457933227920485360e-03
2.650000000000000000e+02	2.412007989906613577e-03	7.225445403827374796e-03
2.660000000000000000e+02	5.260081834909197986e-03	6.432097581070836748e-03
2.670000000000000000e+02	2.391570679205640929e-03	6.683848395152169712e-03
2.680000000000000000e+02	1.291609166565801936e-03	7.676924598900253943e-03
2.690000000000000000e+02	7.228841232382762945e-03	7.245610025147493014e-03
2.700000000000000000e+02	4.970134700910081461e-04	7.846816812786506015e-03
2.710000000000000000e+02	1.638151225224956974e-03	7.907435887694566276e-03
2.720000000000000000e+02	1.971360271234057042e-03	7.625589178052017032e-03
2.730000000000000000e+02	8.338580177645569537e-05	8.643730949837585831e-03
2.740000000000000000e+02	-8.112692324162725215e-04	7.876371230456102185e-03
2.750000000000000000e+02	3.887997744714426218e-03	8.689321535231497862e-03
2.760000000000000000e+02	3.183894197240508478e-04	7.483261606930561097e-03
2.770000000000000000e+02	6.990012221811548875e-05	7.285321195980856528e-03
2.780000000000000000e+02	-4.204734156978288994e-04	7.664232768422911228e-03
2.790000000000000000e+02	3.044365041502314871e-03	7.731726970538418259e-03
2.800000000000000000e+02	-3.512433879184135893e-04	7.832986784448082995e-03
2.810000000000000000e+02	7.228734284225266917e-04	7.484914586595642350e-03
2.820000000000000000e+02	2.570189296081611986e-03	7.423840651717981791e-03
2.830000000000000000e+02	1.402928859497858203e-03	7.191449732380071451e-03
2.840000000000000000e+02	-2.893698199162979615e-03	6.224021360257711404e-03
2.850000000000000000e+02	-3.568528937704588955e-03	6.169036841233663596e-03
2.860000000000000000e+02	-4.186198009251816676e-03	5.189441311334635522e-03
2.870000000000000000e+02	-2.575572700117358116e-03	6.242630383528924645e-03
2.880000000000000000e+02	-5.335076088703810150e-03	5.481500015082686229e-03
2.890000000000000000e+02	-3.129300396080110340e-03	5.683816890591711010e-03
2.900000000000000000e+02	-6.283451998665148634e-03	4.910734488217655472e-03
2.910000000000000000e+02	-9.527807851943948664e-03	4.854406685180612246e-03
2.920000000000000000e+02	-1.154381737117803931e-02	3.782236867819959575e-03
2.930000000000000000e+02	-9.573105980205725771e-03	4.599606500216711809e-03
2.940000000000000000e+02	-1.014233570043133331e-02	6.126902408399385533e-03
2.950000000000000000e+02	-1.100197063906680622e-02	6.177619922876527447e-03
2.960000000000000000e+02	-1.101605460845312377e-02	5.300424860828728373e-03
2.970000000000000000e+02	-7.263561689939065924e-03	4.840596632318337408e-03
2.980000000000000000e+02	-8.838862141678432288e-03	5.864533728758247223e-03
2.990000000000000000e+02	-9.236807703330681546e-03	5.570984326724031689e-03
3.000000000000000000e+02	-1.054076179797180414e-02	5.500234313900230140e-03
3.010000000000000000e+02	-1.009884126240230551e-02	5.202731148157922932e-03
3.020000000000000000e+02	-6.777265303230932750e-03	7.035887518669020277e-03
3.030000000000000000e+02	-8.547376753109837272e-03	6.151150835254520256e-03
3.040000000000000000e+02	-7.612977207460050813e-03	5.555813118104112151e-03
3.050000000000000000e+02	-6.175833902875906348e-03	5.657426093186254841e-03
3.060000000000000000e+02	-6.909767127302969200e-03	5.748316245711290566e-03
3.070000000000000000e+02	-9.308980852238366369e-03	6.207450956253644618e-03
3.080000000000000000e+02	-8.752509227166801326e-03	6.622861496362110120e-03
3.090000000000000000e+02	-5.511919090535300284e-03	6.784838363515004189e-03
3.100000000000000000e+02	-8.414541437351902298e-03	7.093800300979275289e-03
3.110000000000000000e+02	-8.800412391706912210e-03	6.622567049183808278e-03
3.120000000000000000e+02	-4.054055919603347449e-03	6.489295779345160414e-03
3.130000000000000000e+02	-8.423028680280757879e-03	6.926505449676135205e-03
3.140000000000000000e+02	-5.599032294809538207e-03	6.347539166412534926e-03
3.150000000000000000e+02	-5.033245114220388783e-03	7.623317830367197859e-03
3.160000000000000000e+02	-1.000006267087895535e-02	6.701867262222081963e-03
3.170000000000000000e+02	-6.511065145264507796e-03	6.958208699061421178e-03
3.180000000000000000e+02	-7.259777324905858538e-03	7.448127350367648655e-03
3.190000000000000000e+02	-6.481449028219982145e-03	7.169384079637619415e-03
3.200000000000000000e+02	-5.464881526982058244e-03	7.199899684026768443e-03
3.210000000000000000e+02	-3.854979386986931347e-03	8.738599048587595425e-03
3.220000000000000000e+02	-9.971035594757080012e-03	8.267899673870052202e-03
3.230000000000000000e+02	-4.560676656980806182e-03	7.352297514323017161e-03
3.240000000000000000e+02	-7.908281595635058281e-03	8.184391258119278617e-03
3.250000000000000000e+02	-8.019494716000104967e-03	8.823394642665372337e-03
3.260000000000000000e+02	-8.598305632996671236e-03	7.420319597545349012e-03
3.270000000000000000e+02	-5.812014477374889514e-03	7.347308026711055554e-03
3.280000000000000000e+02	-6.454973361460575147e-03	8.345228726844292760e-03
3.290000000000000000e+02	-6.604728025200376322e-03	8.106943264032074117e-03
3.300000000000000000e+02	-3.395196951799622689e-03	8.268942698377143921e-03
3.310000000000000000e+02	-3.877006326361104489e-03	8.688247185938373710e-03
3.320000000000000000e+02	-3.950856625897324406e-03	9.607688290807690074e-03
3.330000000000000000e+02	-5.684423359869788563e-03	9.377902599282046323e-03
3.340000000000000000e+02	-3.111744702757711888e-03	8.730576172699035936e-03
3.350000000000000000e+02	-5.249207586209499003e-03	8.560503023782604914e-03
3.360000000000000000e+02	-2.845556213188876228e-03	9.283704721829422885e-03
3.370000000000000000e+02	-4.229468917068474228e-03	8.421845165189911081e-03
3.380000000000000000e+02	-4.721549387275626730e-03	9.087185550401824172e-03
3.390000000000000000e+02	-1.298341907857696086e-03	9.692131003436816467e-03
3.400000000000000000e+02	-1.068404429064013714e-03	9.011374637670443305e-03
3.410000000000000000e+02	-7.611303793466954936e-04	8.515457463073547104e-03
3.420000000000000000e+02	-7.371232647253347079e-05	9.082009353727001078e-03
3.430000000000000000e+02	-3.758961366927961872e-03	9.537082102576113080e-03
3.440000000000000000e+02	-3.926351044633302929e-03	9.540753874853358935e-03
3.450000000000000000e+02	-4.745357343616499364e-03	9.402651555170440587e-03
3.460000000000000000e+02	-4.745922270587900685e-03	9.841076794157381166e-03
3.470000000000000000e+02	-4.449212720760621458e-03	9.880680707519066963e-03
3.480000000000000000e+02	-2.059843868877908428e-03	1.023922820408061478e-02
3.490000000000000000e+02	-4.336977471138524567e-03	9.789837038633524349e-03
3.500000000000000000e+02	-4.785297073410563207e-03	9.453580036130686606e-03
3.510000000000000000e+02	-5.552803901851342122e-04	8.325727172080086072e-03
