# legendlabel: Fit Exponential
# description: 
# m=0.948779610330041, tau=19.01909369456241[steps]
# fitrange: 1 <= k <= 1500[1.0steps]
# function: $A e^{-k/\tau}$
# 	with parameters:
# 		tau = 19.01909369456241
# 		A = 0.526029871079644
# 
# legendlabel: Fit Exp+Offset
# description: 
# m=0.9491954703949417, tau=19.178939454092088[steps]
# fitrange: 1 <= k <= 1500[1.0steps]
# function: $A e^{-k/\tau} + O$
# 	with parameters:
# 		tau = 19.178939454092088
# 		A = 0.5262672471663292
# 		O = -0.0012240836529710914
# 
# legendlabel: Fit Complex
# description: 
# m=0.9831584989242645, tau=58.875714668907875[steps]
# fitrange: 1 <= k <= 1500[1.0steps]
# function: $A e^{-k/\tau} + B e^{-(k/\tau_{osc})^\gamma} \cos(2 \pi \nu k) + C e^{-(k/\tau_{gs})^2} + O$
# 	with parameters:
# 		tau = 58.875714668907875
# 		A = 0.0940495005580624
# 		O = -0.0017189261654161165
# 		tauosc = 5.000000033303077
# 		B = 0.3969196685907876
# 		gamma = 0.37637235182005246
# 		nu = 0.004658922811668233
# 		taugs = 18.587653403858884
# 		C = 0.1832837795149349
# 
# 1_steps[1steps]	2_coefficients	3_stderrs
1.000000000000000000e+00	4.966776112849377034e-01	5.456166659194636517e-03
2.000000000000000000e+00	4.700538225807312509e-01	6.494386988245815472e-03
3.000000000000000000e+00	4.472937275653697253e-01	6.136490760731407208e-03
4.000000000000000000e+00	4.271128351024995884e-01	6.297115650991648439e-03
5.000000000000000000e+00	4.041476558816904374e-01	7.072204802873036621e-03
6.000000000000000000e+00	3.858218735242291419e-01	6.835153462152352040e-03
7.000000000000000000e+00	3.679842514968624245e-01	7.266091525699906045e-03
8.000000000000000000e+00	3.453356008506666130e-01	6.505319988814606443e-03
9.000000000000000000e+00	3.317596355172330314e-01	7.585328604202463791e-03
1.000000000000000000e+01	3.135941670669580295e-01	7.555938947858758387e-03
1.100000000000000000e+01	2.968499913777885579e-01	7.347728468791089700e-03
1.200000000000000000e+01	2.813081435801437769e-01	7.154028053878659990e-03
1.300000000000000000e+01	2.667705194787801659e-01	8.035378009132593258e-03
1.400000000000000000e+01	2.553768344849266514e-01	7.397746606964311460e-03
1.500000000000000000e+01	2.416852480175684104e-01	7.185157597803456218e-03
1.600000000000000000e+01	2.254275950522560135e-01	7.401616424595146120e-03
1.700000000000000000e+01	2.177410263066273666e-01	6.930709559946567587e-03
1.800000000000000000e+01	2.058966984097468644e-01	7.052178811137023960e-03
1.900000000000000000e+01	1.941109069501173179e-01	6.898395183189062752e-03
2.000000000000000000e+01	1.827342725204569862e-01	6.984186366935429824e-03
