# ------------------------------------------------------------------------
# legendlabel: Fit Exponential
# ------------------------------------------------------------------------
# description: 
# m=0.9947261624102998, tau=756.4592123507574[ms]
# quantiles | tau [ms]| m:
#  0.125 |  680.716 | 0.99414106
#  0.250 |  712.979 | 0.99440545
#  0.400 |  729.066 | 0.99452855
#  0.500 |  741.483 | 0.99461993
#  0.600 |  755.537 | 0.99471974
#  0.750 |  776.636 | 0.99486282
#  0.875 |  799.758 | 0.99501097
# 
# fitrange: 1 <= k <= 2000[4.0ms]
# function: $A e^{-k/\tau}$
# 	with parameters:
# 		tau = 756.4592123507574
# 		A = 0.9774420518285808
# 
# 
# ------------------------------------------------------------------------
# legendlabel: Fit Exp+Offset
# ------------------------------------------------------------------------
# description: 
# m=0.9955035863304222, tau=887.5963626798155[ms]
# quantiles | tau [ms]| m:
#  0.125 |  764.529 | 0.99478168
#  0.250 |  808.792 | 0.99506656
#  0.400 |  838.838 | 0.99524285
#  0.500 |  873.897 | 0.99543326
#  0.600 |  899.974 | 0.99556529
#  0.750 |  937.225 | 0.99574118
#  0.875 |  975.053 | 0.99590606
# 
# fitrange: 1 <= k <= 2000[4.0ms]
# function: $A e^{-k/\tau} + O$
# 	with parameters:
# 		tau = 887.5963626798155
# 		A = 0.9780163283607306
# 		O = -0.03949606832707974
# 
# 
# ------------------------------------------------------------------------
# legendlabel: Fit Complex
# ------------------------------------------------------------------------
# description: 
# m=0.9955701957515302, tau=900.972957732371[ms]
# quantiles | tau [ms]| m:
# none
# fitrange: 1 <= k <= 2000[4.0ms]
# function: $A e^{-k/\tau} + B e^{-(k/\tau_{osc})^\gamma} \cos(2 \pi \nu k) + C e^{-(k/\tau_{gs})^2} + O$
# 	with parameters:
# 		tau = 900.972957732371
# 		A = 0.9655118987533148
# 		O = -0.04010437214270651
# 		tauosc = 41.606118701684174
# 		B = -0.3555458184092705
# 		gamma = 1.22448835233484
# 		nu = 0.005004532831813853
# 		taugs = 29.999999999999982
# 		C = 0.3577977358407852
# 
# 
# ------------------------------------------------------------------------
# Data
# ------------------------------------------------------------------------
# 1_steps[4ms]	2_coefficients	3_stderrs
3.800000000000000000e+01	7.942726174686880469e-01	1.639634586075442227e-02
3.900000000000000000e+01	7.908397622416094563e-01	1.656611737085475142e-02
4.000000000000000000e+01	7.869546366819314409e-01	1.694122022742679951e-02
4.100000000000000000e+01	7.830291938472938584e-01	1.723356640890533198e-02
4.200000000000000000e+01	7.792875598062222187e-01	1.746118561113896295e-02
4.300000000000000000e+01	7.756809671859111743e-01	1.778419469760629534e-02
4.400000000000000000e+01	7.720002236733251033e-01	1.795986842558199015e-02
4.500000000000000000e+01	7.682351286605898499e-01	1.832144729650690695e-02
4.600000000000000000e+01	7.643121000470327608e-01	1.855136209020804422e-02
4.700000000000000000e+01	7.611427662879773903e-01	1.865921290572808769e-02
4.800000000000000000e+01	7.572610775850451281e-01	1.901591270661445038e-02
4.900000000000000000e+01	7.535633918876210036e-01	1.909391928155439525e-02
5.000000000000000000e+01	7.502780105815221035e-01	1.937589253355299912e-02
5.100000000000000000e+01	7.464896426972106314e-01	1.963393060769821202e-02
5.200000000000000000e+01	7.428035126007445088e-01	1.980159022390474283e-02
5.300000000000000000e+01	7.388556696074074503e-01	2.009835244147194222e-02
5.400000000000000000e+01	7.354243566434975898e-01	2.032027541354481520e-02
5.500000000000000000e+01	7.319030546970557438e-01	2.062986927417048352e-02
5.600000000000000000e+01	7.279414803720659632e-01	2.085936446356701987e-02
5.700000000000000000e+01	7.241107231954586609e-01	2.103285259030485480e-02
5.800000000000000000e+01	7.206233177635036347e-01	2.126532672304943736e-02
5.900000000000000000e+01	7.166991235394780668e-01	2.150009126404500009e-02
6.000000000000000000e+01	7.128653964135694965e-01	2.180901799079072029e-02
6.100000000000000000e+01	7.093361782141085481e-01	2.198638436934534715e-02
6.200000000000000000e+01	7.060506441117053722e-01	2.231120585608997037e-02
6.300000000000000000e+01	7.024705859838460409e-01	2.255913549334380777e-02
6.400000000000000000e+01	6.995275900150943471e-01	2.269667473691530310e-02
6.500000000000000000e+01	6.960621597371831060e-01	2.290872307040574263e-02
6.600000000000000000e+01	6.922966064670056374e-01	2.309339046483815591e-02
