# Mr. Estimator v0.1.4
# ------------------------------------------------------------------------
# legendlabel: Fit Exponential
# ------------------------------------------------------------------------
# m = 0.9939982567851756
# tau = 664.4710257808437 [ms]
# quantiles | tau [ms] | m:
#  0.125 |  602.136 | 0.99337895
#  0.250 |  626.838 | 0.99363908
#  0.400 |  643.385 | 0.99380217
#  0.500 |  664.471 | 0.99399826
#  0.600 |  675.622 | 0.99409702
#  0.750 |  700.343 | 0.99430479
#  0.875 |  715.879 | 0.99442804
# 
# fitrange: 1 <= k <= 2000 [4ms]
# function: $|A| e^{-k/\tau}$
# 	tau [ms]   = 664.4710257808437
# 	A          = -0.9795290544401251
# 
# ------------------------------------------------------------------------
# legendlabel: Fit Exp+Offset
# ------------------------------------------------------------------------
# m = 0.9950601012390409
# tau = 807.7315429333491 [ms]
# quantiles | tau [ms] | m:
#  0.125 |  706.659 | 0.99435536
#  0.250 |  736.715 | 0.99458520
#  0.400 |  780.877 | 0.99489065
#  0.500 |  800.606 | 0.99501625
#  0.600 |  835.571 | 0.99522430
#  0.750 |  874.985 | 0.99543892
#  0.875 |  914.042 | 0.99563339
# 
# fitrange: 1 <= k <= 2000 [4ms]
# function: $|A| e^{-k/\tau} + O$
# 	tau [ms]   = 807.7315429333491
# 	A          = 0.9786785770213223
# 	O          = -0.0475606677643396
# 
# ------------------------------------------------------------------------
# legendlabel: Fit Complex
# ------------------------------------------------------------------------
# m = 0.9951583106875811
# tau = 824.1563080432034 [ms]
# fitrange: 1 <= k <= 2000 [4ms]
# function: $|A| e^{-k/\tau} + B e^{-(k/\tau_{osc})^\gamma} \cos(2 \pi \nu k) + C e^{-(k/\tau_{gs})^2} + O$
# 	tau [ms]      = 824.1563080432034
# 	A             = 0.9617192655113145
# 	O             = -0.048293576098677245
# 	tauosc [ms]   = 41.692527238921386
# 	B             = -0.4356397347932994
# 	gamma         = 1.2260718684913314
# 	nu [1/ms]     = 0.005001897113881467
# 	taugs [ms]    = 29.999999999999996
# 	C             = 0.43941120515120197
# 
# ------------------------------------------------------------------------
# Data
# ------------------------------------------------------------------------
# 1_steps[4ms]	2_coefficients	3_stderrs
1.780000000000000000e+02	3.397341385729810703e-01	3.735791124138573144e-02
1.790000000000000000e+02	3.374784775254654479e-01	3.731944779913256433e-02
1.800000000000000000e+02	3.355870256883261016e-01	3.731701731128763549e-02
1.810000000000000000e+02	3.335283806970428810e-01	3.731205371547844513e-02
1.820000000000000000e+02	3.311063388544112640e-01	3.740483886154402637e-02
1.830000000000000000e+02	3.288065173644730832e-01	3.730963141850781456e-02
1.840000000000000000e+02	3.265525223688705569e-01	3.739008683212636380e-02
1.850000000000000000e+02	3.240391051264608913e-01	3.735702497789478160e-02
1.860000000000000000e+02	3.224939674401302026e-01	3.729273840150262864e-02
1.870000000000000000e+02	3.203465582512984300e-01	3.737831357393420900e-02
1.880000000000000000e+02	3.183028056362138813e-01	3.726598695782181586e-02
1.890000000000000000e+02	3.156096064679447810e-01	3.732943280952434606e-02
1.900000000000000000e+02	3.139660912704197449e-01	3.735477436277903629e-02
1.910000000000000000e+02	3.118747798945887828e-01	3.740313185919277861e-02
1.920000000000000000e+02	3.098973386766152860e-01	3.724431766957164713e-02
1.930000000000000000e+02	3.076384143360685886e-01	3.726457025491344832e-02
1.940000000000000000e+02	3.057626422639284636e-01	3.721004455160849961e-02
1.950000000000000000e+02	3.041613538660251637e-01	3.710252950672192351e-02
1.960000000000000000e+02	3.019775857870996005e-01	3.709433349188609452e-02
1.970000000000000000e+02	2.999854160990097496e-01	3.714127925980954120e-02
1.980000000000000000e+02	2.979118722713555156e-01	3.717613904978638723e-02
1.990000000000000000e+02	2.959856356085103224e-01	3.710313444811830230e-02
2.000000000000000000e+02	2.942503605657638133e-01	3.712910491853239209e-02
2.010000000000000000e+02	2.921823379336091486e-01	3.703684884636230384e-02
2.020000000000000000e+02	2.901303422022948886e-01	3.717648132384043097e-02
2.030000000000000000e+02	2.883290329864774404e-01	3.703774974125317171e-02
2.040000000000000000e+02	2.865505964699544550e-01	3.696319480867247403e-02
2.050000000000000000e+02	2.846468387955712886e-01	3.700021351782674384e-02
2.060000000000000000e+02	2.833505213374457599e-01	3.703431688306340480e-02
2.070000000000000000e+02	2.810124718926120257e-01	3.704667827840937150e-02
2.080000000000000000e+02	2.791476520582559795e-01	3.710334224445106105e-02
2.090000000000000000e+02	2.772956852355034640e-01	3.711959459494292013e-02
2.100000000000000000e+02	2.752313689060734148e-01	3.719840011243293748e-02
2.110000000000000000e+02	2.733369893861500866e-01	3.727508540868795794e-02
