# legendlabel: $A e^{-k/\tau}$
# description: 
# m=0.9938337072239355, tau=646.6859173971507[ms]
# fitrange: 1 <= k <= 5000[4.0ms]
# function: $A e^{-k/\tau}$
# 	with parameters:
# 		tau = 646.6859173971507
# 		A = 0.9692993494176645
# 
# legendlabel: $A e^{-k/\tau} + O$
# description: 
# m=0.994261478039535, tau=695.0416806050425[ms]
# fitrange: 1 <= k <= 2999[4.0ms]
# function: $A e^{-k/\tau} + O$
# 	with parameters:
# 		tau = 695.0416806050425
# 		A = 0.9901016772895169
# 		O = -0.024830960041080253
# 
# 1_steps[4.0ms]	2_coefficients	3_stderrs	4_coefficients	5_stderrs
5.600000000000000000e+01	7.079875967091002753e-01	2.469117152551694033e-02	nan	nan
5.700000000000000000e+01	7.040316294936228569e-01	2.503533636023932973e-02	nan	nan
5.800000000000000000e+01	7.001010863605969803e-01	2.523360680917938886e-02	nan	nan
5.900000000000000000e+01	6.961063891405634418e-01	2.542345211513382872e-02	nan	nan
6.000000000000000000e+01	6.926523404404113515e-01	2.563533341550683353e-02	nan	nan
6.100000000000000000e+01	6.884637366414864124e-01	2.606639335936539875e-02	nan	nan
6.200000000000000000e+01	6.846258514765689585e-01	2.607947087626831528e-02	nan	nan
6.300000000000000000e+01	6.807178682244396928e-01	2.636989789821499869e-02	nan	nan
6.400000000000000000e+01	6.768713654329736595e-01	2.670381950825824122e-02	nan	nan
6.500000000000000000e+01	6.729611997094198106e-01	2.666139252607643145e-02	nan	nan
6.600000000000000000e+01	6.691820967894398509e-01	2.686434083811933826e-02	nan	nan
6.700000000000000000e+01	6.650861702994856905e-01	2.705304044993680351e-02	nan	nan
6.800000000000000000e+01	6.616138462165561673e-01	2.714998327369070458e-02	nan	nan
6.900000000000000000e+01	6.575394794213800242e-01	2.742320071439414975e-02	nan	nan
7.000000000000000000e+01	6.535525094207850216e-01	2.762687421972912991e-02	nan	nan
7.100000000000000000e+01	6.497703898726860938e-01	2.760715325520414140e-02	nan	nan
7.200000000000000000e+01	6.462502167104188233e-01	2.797587573245575998e-02	nan	nan
7.300000000000000000e+01	6.420878524216047101e-01	2.821617537478200016e-02	nan	nan
7.400000000000000000e+01	6.386431716804170655e-01	2.823890660666214525e-02	nan	nan
7.500000000000000000e+01	6.350392473540539262e-01	2.838687824118218267e-02	nan	nan
7.600000000000000000e+01	6.319379407578282759e-01	2.838687799826547509e-02	nan	nan
7.700000000000000000e+01	6.278789634841663858e-01	2.849016766515323831e-02	nan	nan
7.800000000000000000e+01	6.249023405986988688e-01	2.870859290514145637e-02	nan	nan
7.900000000000000000e+01	6.211538779327621107e-01	2.888814818337602855e-02	nan	nan
8.000000000000000000e+01	6.178922300303246740e-01	2.902746759727007492e-02	nan	nan
8.100000000000000000e+01	6.145332415342822374e-01	2.918685744852605665e-02	nan	nan
8.200000000000000000e+01	6.108785454252609881e-01	2.931456166092527224e-02	nan	nan
8.300000000000000000e+01	6.075009220775551277e-01	2.947185445974498733e-02	nan	nan
8.400000000000000000e+01	6.041362094784072934e-01	2.953111794408630128e-02	nan	nan
8.500000000000000000e+01	6.010617949294605467e-01	2.948426768484326346e-02	nan	nan
8.600000000000000000e+01	5.970727299948266342e-01	2.980909664453982102e-02	nan	nan
8.700000000000000000e+01	5.939231391891610645e-01	2.996601603591150451e-02	nan	nan
8.800000000000000000e+01	5.910656705271832845e-01	2.994460581517319198e-02	nan	nan
8.900000000000000000e+01	5.871246414534180280e-01	3.017109207576440869e-02	nan	nan
9.000000000000000000e+01	5.840701673143274819e-01	3.026611605513618991e-02	nan	nan
9.100000000000000000e+01	5.807976335254126932e-01	3.038648634445271363e-02	nan	nan
9.200000000000000000e+01	5.773372343030629406e-01	3.045888537625454293e-02	nan	nan
9.300000000000000000e+01	5.743883704557257719e-01	3.056199895649763104e-02	nan	nan
9.400000000000000000e+01	5.712000983030682821e-01	3.092496745220701254e-02	nan	nan
9.500000000000000000e+01	5.683119865644952196e-01	3.090234963456047271e-02	nan	nan
9.600000000000000000e+01	5.652739311456953519e-01	3.093155974868707150e-02	nan	nan
9.700000000000000000e+01	5.621628339776419958e-01	3.103575014046774938e-02	nan	nan
9.800000000000000000e+01	5.588704183457045005e-01	3.123207868032585460e-02	nan	nan
9.900000000000000000e+01	5.553796422001592292e-01	3.154827539810682591e-02	nan	nan
1.000000000000000000e+02	5.524474529957206226e-01	3.168043598014830958e-02	nan	nan
1.010000000000000000e+02	5.494290164407180654e-01	3.180415630669890248e-02	5.767256714867526890e-01	3.181228148109521009e-02
1.020000000000000000e+02	5.461900319470986975e-01	3.171265633526893640e-02	nan	nan
1.030000000000000000e+02	5.429608999114788892e-01	3.216329231725214427e-02	nan	nan
1.040000000000000000e+02	5.400931407733866596e-01	3.231862552295225455e-02	nan	nan
1.050000000000000000e+02	5.370596935939536687e-01	3.240799073877432407e-02	nan	nan
1.060000000000000000e+02	5.334898918532590129e-01	3.271166930999936523e-02	nan	nan
1.070000000000000000e+02	5.307427529059951521e-01	3.267502675604805340e-02	nan	nan
1.080000000000000000e+02	5.277808324187722722e-01	3.299860453491826329e-02	nan	nan
1.090000000000000000e+02	5.246918137292486684e-01	3.327443979659840123e-02	nan	nan
1.100000000000000000e+02	5.216198350933012318e-01	3.327294702446467051e-02	nan	nan
1.110000000000000000e+02	5.185077463542090426e-01	3.370866816195528665e-02	nan	nan
1.120000000000000000e+02	5.156668313975056872e-01	3.402053474145682460e-02	nan	nan
1.130000000000000000e+02	5.126249908643247810e-01	3.397875855780967125e-02	nan	nan
1.140000000000000000e+02	5.101090466712349114e-01	3.403963948031205056e-02	nan	nan
1.150000000000000000e+02	5.068808127242074857e-01	3.417902396528370995e-02	nan	nan
1.160000000000000000e+02	5.039931440855789369e-01	3.442052859464787840e-02	nan	nan
1.170000000000000000e+02	5.015072595464811211e-01	3.465244602368906107e-02	nan	nan
1.180000000000000000e+02	4.985247041316885341e-01	3.484960706224010663e-02	nan	nan
1.190000000000000000e+02	4.962318720928294846e-01	3.488943487734034316e-02	nan	nan
1.200000000000000000e+02	4.930762562686575867e-01	3.516168490482531744e-02	nan	nan
1.210000000000000000e+02	4.906480480812493994e-01	3.545942620057879191e-02	nan	nan
1.220000000000000000e+02	4.879316623732686264e-01	3.581433005450995050e-02	nan	nan
1.230000000000000000e+02	4.848145447553547926e-01	3.602569443321564785e-02	nan	nan
1.240000000000000000e+02	4.822811790722344449e-01	3.644732623977572222e-02	nan	nan
1.250000000000000000e+02	4.798618880363695882e-01	3.669935650081666834e-02	nan	nan
1.260000000000000000e+02	4.772826474379348594e-01	3.681914132947086693e-02	nan	nan
1.270000000000000000e+02	4.752076147438321074e-01	3.697940310376139628e-02	nan	nan
1.280000000000000000e+02	4.728888358844854922e-01	3.723028846768650091e-02	nan	nan
1.290000000000000000e+02	4.701354071101926380e-01	3.737954043733028586e-02	nan	nan
1.300000000000000000e+02	4.675134803568800623e-01	3.742390100386831786e-02	nan	nan
1.310000000000000000e+02	4.654752292563023586e-01	3.767608252715613087e-02	nan	nan
1.320000000000000000e+02	4.629199228852406978e-01	3.774483857753728466e-02	nan	nan
1.330000000000000000e+02	4.604513170989642523e-01	3.779758021492127945e-02	nan	nan
1.340000000000000000e+02	4.574900996209434467e-01	3.800293947252141730e-02	nan	nan
1.350000000000000000e+02	4.548636304458041346e-01	3.828584107793389646e-02	nan	nan
1.360000000000000000e+02	4.528669067248258240e-01	3.830711067939381043e-02	nan	nan
1.370000000000000000e+02	4.505324557264290819e-01	3.858109832204462131e-02	nan	nan
1.380000000000000000e+02	4.480839837076701082e-01	3.853835221771870906e-02	nan	nan
1.390000000000000000e+02	4.455627881299659698e-01	3.870246766771211905e-02	nan	nan
1.400000000000000000e+02	4.432602006676867323e-01	3.886162998204586994e-02	nan	nan
1.410000000000000000e+02	4.410394183394464873e-01	3.891520754783890645e-02	nan	nan
1.420000000000000000e+02	4.381195987786871138e-01	3.910203290902371231e-02	nan	nan
1.430000000000000000e+02	4.360601063624259810e-01	3.906962867129396000e-02	nan	nan
1.440000000000000000e+02	4.340428804538567498e-01	3.915802534975017929e-02	nan	nan
1.450000000000000000e+02	4.310343489048363286e-01	3.940696095511036362e-02	nan	nan
1.460000000000000000e+02	4.285445952164869676e-01	3.953470656762236857e-02	nan	nan
1.470000000000000000e+02	4.259851322620599734e-01	3.966019767319291234e-02	nan	nan
