# Mr. Estimator v0.1.4
# ------------------------------------------------------------------------
# legendlabel: mydat Fit Exponential
# ------------------------------------------------------------------------
# description: mydat
# m = 0.9939981929202228
# tau = 664.4639338505722 [ms]
# fitrange: 1 <= k <= 5000 [4ms]
# function: $|A| e^{-k/\tau}$
# 	tau [ms]   = 664.4639338505722
# 	A          = 0.9795340892436178
# 
# ------------------------------------------------------------------------
# legendlabel: mydat Fit Exp+Offset
# ------------------------------------------------------------------------
# description: mydat
# m = 0.9946738350015476
# tau = 749.0076236623656 [ms]
# fitrange: 1 <= k <= 3000 [4ms]
# function: $|A| e^{-k/\tau} + O$
# 	tau [ms]   = 749.0076236623656
# 	A          = -0.9808506442087468
# 	O          = -0.03010357084595713
# 
# ------------------------------------------------------------------------
# Data
# ------------------------------------------------------------------------
# 1_steps[1ms]	2_coefficients	3_stderrs	4_mydat_coefficients	5_mydat_stderrs
1.350000000000000000e+02	4.670736583090763228e-01	3.434347980519079913e-02	nan	nan
1.360000000000000000e+02	4.642555026975744292e-01	3.457749832746814106e-02	7.923763928061254846e-01	1.436232865292027053e-02
1.370000000000000000e+02	4.614175254684547700e-01	3.481820204296311866e-02	nan	nan
1.380000000000000000e+02	4.586124507388928961e-01	3.505830752358611579e-02	nan	nan
1.390000000000000000e+02	4.558696154287821267e-01	3.530124483502607158e-02	nan	nan
1.400000000000000000e+02	4.531040664289756603e-01	3.553557108786317698e-02	7.877628722275006323e-01	1.462856939230935092e-02
1.410000000000000000e+02	4.503438852262574565e-01	3.576405324490901372e-02	nan	nan
1.420000000000000000e+02	4.476046434642683147e-01	3.598551708323319970e-02	nan	nan
1.430000000000000000e+02	4.448929727501866327e-01	3.619109085841294010e-02	nan	nan
1.440000000000000000e+02	4.421886248551986087e-01	3.638273906399737412e-02	7.837410533424318260e-01	1.485729562846796296e-02
1.450000000000000000e+02	4.394355624627287460e-01	3.658506626891393915e-02	nan	nan
1.460000000000000000e+02	4.366572723746847684e-01	3.677834197318434473e-02	nan	nan
1.470000000000000000e+02	4.339059536839971476e-01	3.695485335537999211e-02	nan	nan
1.480000000000000000e+02	4.311832759266994164e-01	3.712174220427608834e-02	7.793856745195815172e-01	1.507629681693207872e-02
1.490000000000000000e+02	4.284718053511347158e-01	3.729079090775823391e-02	nan	nan
1.500000000000000000e+02	4.257561181411096962e-01	3.746054794567916374e-02	nan	nan
1.510000000000000000e+02	4.230510901165450699e-01	3.763739086560859842e-02	nan	nan
1.520000000000000000e+02	4.203597223810836558e-01	3.781312271772843681e-02	7.749143664236920470e-01	1.533456693096017093e-02
1.530000000000000000e+02	4.176938597060214642e-01	3.798942606400489835e-02	nan	nan
1.540000000000000000e+02	4.150503532922715233e-01	3.815647007660182694e-02	nan	nan
1.550000000000000000e+02	4.124160385957990060e-01	3.831896640904000617e-02	nan	nan
1.560000000000000000e+02	4.098405662605212330e-01	3.848694269735573881e-02	7.712914498045604361e-01	1.544686204999002992e-02
1.570000000000000000e+02	4.072476712174166735e-01	3.865447388234399123e-02	nan	nan
1.580000000000000000e+02	4.046129784679104446e-01	3.883289444082923397e-02	nan	nan
1.590000000000000000e+02	4.019950779208322222e-01	3.900612763253602511e-02	nan	nan
1.600000000000000000e+02	3.993906048643707796e-01	3.917957345228881977e-02	7.670034886702773447e-01	1.578030366113494093e-02
1.610000000000000000e+02	3.968067768855443878e-01	3.933774362409623443e-02	nan	nan
1.620000000000000000e+02	3.942297309199914723e-01	3.948945764211786447e-02	nan	nan
1.630000000000000000e+02	3.916447815163541235e-01	3.963280134043453001e-02	nan	nan
1.640000000000000000e+02	3.890811362456257916e-01	3.976335182047126965e-02	7.627224152955428549e-01	1.604332956466036561e-02
1.650000000000000000e+02	3.865307042933086024e-01	3.987651787972820716e-02	nan	nan
1.660000000000000000e+02	3.840017073280198590e-01	3.998519035882869971e-02	nan	nan
1.670000000000000000e+02	3.814454478596878140e-01	4.009642546062654883e-02	nan	nan
1.680000000000000000e+02	3.789072119803023608e-01	4.019574513269460331e-02	7.588237040608299955e-01	1.616864272195271679e-02
1.690000000000000000e+02	3.764176932962235433e-01	4.027963853612173684e-02	nan	nan
1.700000000000000000e+02	3.739488560006906659e-01	4.035211576578038445e-02	nan	nan
1.710000000000000000e+02	3.714762636668411666e-01	4.043064980449650320e-02	nan	nan
1.720000000000000000e+02	3.690705402767203713e-01	4.049567224754409278e-02	7.548441323663019897e-01	1.647057298279766546e-02
1.730000000000000000e+02	3.666648306948017133e-01	4.056528342427125067e-02	nan	nan
1.740000000000000000e+02	3.642930964530522453e-01	4.064225402692096117e-02	nan	nan
1.750000000000000000e+02	3.619472783696881524e-01	4.070764840356880937e-02	nan	nan
1.760000000000000000e+02	3.596093834080721918e-01	4.076598803862961640e-02	7.509687457389457865e-01	1.658288233101842465e-02
1.770000000000000000e+02	3.572788530123193751e-01	4.082595260680089988e-02	nan	nan
1.780000000000000000e+02	3.549564252646911777e-01	4.088822434071009981e-02	nan	nan
1.790000000000000000e+02	3.526602660772096831e-01	4.093455414657362623e-02	nan	nan
1.800000000000000000e+02	3.503561782913163780e-01	4.098998462265347059e-02	7.467656296156002238e-01	1.696042876091150703e-02
1.810000000000000000e+02	3.480900680287174476e-01	4.104081054438700471e-02	nan	nan
1.820000000000000000e+02	3.458506611121964225e-01	4.108569504047682175e-02	nan	nan
1.830000000000000000e+02	3.436388268472486685e-01	4.111540202142853484e-02	nan	nan
1.840000000000000000e+02	3.414512599961776473e-01	4.114285259510697124e-02	7.426472684119436174e-01	1.705935019167457642e-02
1.850000000000000000e+02	3.392800573811018405e-01	4.116353080399083597e-02	nan	nan
1.860000000000000000e+02	3.371441762268290732e-01	4.116736079809476395e-02	nan	nan
1.870000000000000000e+02	3.350121624606776094e-01	4.117368140366556989e-02	nan	nan
1.880000000000000000e+02	3.328659078251611780e-01	4.118049895189210274e-02	7.393116989787886784e-01	1.716825098542865830e-02
1.890000000000000000e+02	3.307414250067743922e-01	4.118190600753319358e-02	nan	nan
1.900000000000000000e+02	3.286327104453211634e-01	4.118791563093652380e-02	nan	nan
1.910000000000000000e+02	3.265339557961390304e-01	4.119569889792835948e-02	nan	nan
1.920000000000000000e+02	3.244418524160668782e-01	4.119967850852444130e-02	7.351090945356084649e-01	1.744102075923432624e-02
1.930000000000000000e+02	3.223657187776273192e-01	4.120562956277018518e-02	nan	nan
1.940000000000000000e+02	3.202924488206462805e-01	4.121579122554778346e-02	nan	nan
1.950000000000000000e+02	3.182000048559366356e-01	4.122975568399959295e-02	nan	nan
1.960000000000000000e+02	3.161256150976169410e-01	4.124519761638937437e-02	7.312114424278740588e-01	1.758166316749295785e-02
1.970000000000000000e+02	3.140905186743832012e-01	4.126822817684153849e-02	nan	nan
1.980000000000000000e+02	3.120569044346564458e-01	4.130037793407827229e-02	nan	nan
1.990000000000000000e+02	3.100201046622261813e-01	4.133106667705852000e-02	nan	nan
2.000000000000000000e+02	3.079676919069729846e-01	4.136133451657578175e-02	7.276119616727493300e-01	1.778918280848166070e-02
2.010000000000000000e+02	3.059632598153561034e-01	4.138380243470174413e-02	nan	nan
2.020000000000000000e+02	3.040018939553878474e-01	4.140922274524373725e-02	nan	nan
2.030000000000000000e+02	3.020495078959920532e-01	4.143205155807639511e-02	nan	nan
2.040000000000000000e+02	3.000744901321516500e-01	4.145742370017398148e-02	7.235666356651633269e-01	1.799255324788964425e-02
2.050000000000000000e+02	2.981097931340167539e-01	4.149241647894522794e-02	nan	nan
2.060000000000000000e+02	2.961701431028828657e-01	4.152388807538835019e-02	nan	nan
2.070000000000000000e+02	2.942355661211104034e-01	4.156053012062001228e-02	nan	nan
2.080000000000000000e+02	2.922592406430444822e-01	4.161897683755050315e-02	7.195662741950858976e-01	1.819531350249859597e-02
2.090000000000000000e+02	2.902649903947071008e-01	4.169851925643304480e-02	nan	nan
2.100000000000000000e+02	2.882458140457249129e-01	4.177883120368072051e-02	nan	nan
2.110000000000000000e+02	2.862895233206658174e-01	4.185061404108330468e-02	nan	nan
2.120000000000000000e+02	2.843529664444950367e-01	4.190919491796813584e-02	7.153327760928835932e-01	1.838872402649856935e-02
2.130000000000000000e+02	2.824404111300248821e-01	4.196065442680949747e-02	nan	nan
2.140000000000000000e+02	2.805193685468534426e-01	4.201024185707016856e-02	nan	nan
2.150000000000000000e+02	2.785963535042731420e-01	4.206367083326729983e-02	nan	nan
2.160000000000000000e+02	2.766790646571811729e-01	4.211441784248260572e-02	7.116649252227598144e-01	1.855020937033373396e-02
